,Player,ID
463,Thomas Robinson,robinth01
464,Sergio Rodríguez,rodrise01
465,Rajon Rondo,rondora01
466,Derrick Rose,rosede01
467,Terrence Ross,rosste01
468,Terrence Ross,rosste01
469,Terrence Ross,rosste01
470,Terry Rozier,roziete01
471,Ricky Rubio,rubiori01
472,Damjan Rudež,rudezda01
473,Brandon Rush,rushbr01
474,D'Angelo Russell,russeda01
475,Domantas Sabonis,sabondo01
476,Larry Sanders,sandela01
477,Dario Šarić,saricda01
478,Tomáš Satoranský,satorto01
479,Dennis Schröder,schrode01
480,Luis Scola,scolalu01
481,Mike Scott,scottmi01
482,Thabo Sefolosha,sefolth01
483,Wayne Selden,seldewa01
484,Wayne Selden,seldewa01
485,Wayne Selden,seldewa01
486,Kevin Séraphin,serapke01
487,Ramon Sessions,sessira01
488,Iman Shumpert,shumpim01
489,Pascal Siakam,siakapa01
490,Jonathon Simmons,simmojo02
491,Kyle Singler,singlky01
492,Marcus Smart,smartma01
493,Ish Smith,smithis01
494,J.R. Smith,smithjr01
495,Jason Smith,smithja02
496,Tony Snell,snellto01
497,Marreese Speights,speigma01
498,Tiago Splitter,splitti01
499,Nik Stauskas,stausni01
500,Lance Stephenson,stephla01
501,Lance Stephenson,stephla01
502,Lance Stephenson,stephla01
503,Lance Stephenson,stephla01
504,Jarnell Stokes,stokeja01
505,Diamond Stone,stonedi01
506,Rodney Stuckey,stuckro01
507,Jared Sullinger,sullija01
508,Edy Tavares,tavarwa01
509,Edy Tavares,tavarwa01
510,Edy Tavares,tavarwa01
511,Isaiah Taylor,taylois01
512,Jeff Teague,teaguje01
513,Mirza Teletović,teletmi01
514,Garrett Temple,templga01
515,Jason Terry,terryja01
516,Isaiah Thomas,thomais02
517,Lance Thomas,thomala01
518,Hollis Thompson,thompho01
519,Hollis Thompson,thompho01
520,Hollis Thompson,thompho01
521,Klay Thompson,thompkl01
522,Tristan Thompson,thomptr01
523,Marcus Thornton,thornma01
524,Mike Tobey,tobeymi01
525,Anthony Tolliver,tollian01
526,Axel Toupane,toupaax01
527,Axel Toupane,toupaax01
528,Axel Toupane,toupaax01
529,Karl-Anthony Towns,townska01
530,P.J. Tucker,tuckepj01
531,P.J. Tucker,tuckepj01
532,P.J. Tucker,tuckepj01
533,Evan Turner,turneev01
534,Myles Turner,turnemy01
535,Beno Udrih,udrihbe01
536,Tyler Ulis,ulisty01
537,Jarrod Uthoff,uthofja01
538,Jonas Valančiūnas,valanjo01
539,Denzel Valentine,valende01
540,Fred VanVleet,vanvlfr01
541,Anderson Varejão,varejan01
542,Greivis Vásquez,vasqugr01
543,Rashad Vaughn,vaughra01
544,Noah Vonleh,vonleno01
545,Nikola Vučević,vucevni01
546,Sasha Vujačić,vujacsa01
547,Dwyane Wade,wadedw01
548,Dion Waiters,waitedi01
549,Kemba Walker,walkeke02
550,John Wall,walljo01
551,Taurean Prince,princta02
552,T.J. Warren,warretj01
553,C.J. Watson,watsocj01
554,Briante Weber,weberbr01
555,Briante Weber,weberbr01
556,Briante Weber,weberbr01
557,David West,westda01
558,Russell Westbrook,westbru01
559,Okaro White,whiteok01
560,Isaiah Whitehead,whiteis01
561,Hassan Whiteside,whiteha01
562,Andrew Wiggins,wiggian01
563,C.J. Wilcox,wilcocj01
564,Alan Williams,willial03
565,Deron Williams,willide01
566,Deron Williams,willide01
567,Deron Williams,willide01
568,Derrick Williams,willide02
569,Derrick Williams,willide02
570,Derrick Williams,willide02
571,Lou Williams,willilo02
572,Lou Williams,willilo02
573,Lou Williams,willilo02
574,Marvin Williams,willima02
575,Reggie Williams,willire02
576,Troy Williams,willitr02
577,Troy Williams,willitr02
578,Troy Williams,willitr02
579,Kyle Wiltjer,wiltjky01
580,Justise Winslow,winslju01
581,Jeff Withey,witheje01
582,Christian Wood,woodch01
583,Metta World Peace,artesro01
584,Brandan Wright,wrighbr03
585,Delon Wright,wrighde01
586,James Young,youngja01
587,Joe Young,youngjo01
588,Nick Young,youngni01
589,Thaddeus Young,youngth01
590,Cody Zeller,zelleco01
591,Tyler Zeller,zellety01
592,Stephen Zimmerman,zimmest01
593,Paul Zipser,zipsepa01
594,Ivica Zubac,zubaciv01
